country,admin1,intervention_group,date,completeness
ZMB,NA,closed_border,2020-05-07,Complete
ZMB,NA,symp_screening,2020-05-07,Complete
ZMB,NA,quar_iso,2020-05-07,Complete
ZMB,NA,household_confined,2020-05-07,Complete
ZMB,NA,limited_mvt,2020-05-07,Unsure
ZMB,NA,school_closed,2020-05-07,Complete
ZMB,NA,nursing_home_closed,2020-05-07,Unsure
ZMB,NA,office_closed,2020-05-07,Incomplete
ZMB,NA,entertainment_closed,2020-05-07,Complete
ZMB,NA,restaurant_closed,2020-05-07,Complete
ZMB,NA,store_closed,2020-05-07,Complete
ZMB,NA,public_transport_closed,2020-05-07,Unsure
ZMB,NA,public_space_closed,2020-05-07,Incomplete
ZMB,NA,social_group_limits,2020-05-07,Complete
ZMB,NA,contact_tracing,2020-05-07,Complete
ZMB,NA,testing_symp,2020-05-07,Complete
ZMB,NA,testing_asymp,2020-05-07,Incomplete
ZMB,NA,enforcement_deployed,2020-05-07,Incomplete
ZMB,NA,state_of_emergency,2020-05-07,Complete
ZMB,NA,mask,2020-05-07,Unsure
ZWE,NA,closed_border,2020-05-07,Complete
ZWE,NA,symp_screening,2020-05-07,Complete
ZWE,NA,quar_iso,2020-05-07,Complete
ZWE,NA,household_confined,2020-05-07,Complete
ZWE,NA,limited_mvt,2020-05-07,Incomplete
ZWE,NA,school_closed,2020-05-07,Complete
ZWE,NA,nursing_home_closed,2020-05-07,Unsure
ZWE,NA,office_closed,2020-05-07,Unsure
ZWE,NA,entertainment_closed,2020-05-07,Complete
ZWE,NA,restaurant_closed,2020-05-07,Complete
ZWE,NA,store_closed,2020-05-07,Incomplete
ZWE,NA,public_transport_closed,2020-05-07,Complete
ZWE,NA,public_space_closed,2020-05-07,Complete
ZWE,NA,social_group_limits,2020-05-07,Complete
ZWE,NA,contact_tracing,2020-05-07,Incomplete
ZWE,NA,testing_symp,2020-05-07,Complete
ZWE,NA,testing_asymp,2020-05-07,Incomplete
ZWE,NA,enforcement_deployed,2020-05-07,Complete
ZWE,NA,state_of_emergency,2020-05-07,Complete
ZWE,NA,mask,2020-05-07,Unsure
MUS,NA,closed_border,2020-05-07,Complete
MUS,NA,symp_screening,2020-05-07,Complete
MUS,NA,quar_iso,2020-05-07,Complete
MUS,NA,household_confined,2020-05-07,Complete
MUS,NA,limited_mvt,2020-05-07,Complete
MUS,NA,school_closed,2020-05-07,Complete
MUS,NA,nursing_home_closed,2020-05-07,Complete
MUS,NA,office_closed,2020-05-07,Complete
MUS,NA,entertainment_closed,2020-05-07,Complete
MUS,NA,restaurant_closed,2020-05-07,Complete
MUS,NA,store_closed,2020-05-07,Complete
MUS,NA,public_transport_closed,2020-05-07,Complete
MUS,NA,public_space_closed,2020-05-07,Complete
MUS,NA,social_group_limits,2020-05-07,Complete
MUS,NA,contact_tracing,2020-05-07,Complete
MUS,NA,testing_symp,2020-05-07,Complete
MUS,NA,testing_asymp,2020-05-07,Complete
MUS,NA,enforcement_deployed,2020-05-07,Complete
MUS,NA,state_of_emergency,2020-05-07,Complete
MUS,NA,mask,2020-05-07,Complete
IRN,IRN.28_1,closed_border,2020-05-07,Incomplete
IRN,IRN.28_1,symp_screening,2020-05-07,Incomplete
IRN,IRN.28_1,quar_iso,2020-05-07,Incomplete
IRN,IRN.28_1,household_confined,2020-05-07,Incomplete
IRN,IRN.28_1,limited_mvt,2020-05-07,Incomplete
IRN,IRN.28_1,school_closed,2020-05-07,Complete
IRN,IRN.28_1,nursing_home_closed,2020-05-07,Incomplete
IRN,IRN.28_1,office_closed,2020-05-07,Incomplete
IRN,IRN.28_1,entertainment_closed,2020-05-07,Complete
IRN,IRN.28_1,restaurant_closed,2020-05-07,Incomplete
IRN,IRN.28_1,store_closed,2020-05-07,Complete
IRN,IRN.28_1,public_transport_closed,2020-05-07,Incomplete
IRN,IRN.28_1,public_space_closed,2020-05-07,Incomplete
IRN,IRN.28_1,social_group_limits,2020-05-07,Incomplete
IRN,IRN.28_1,contact_tracing,2020-05-07,Unsure
IRN,IRN.28_1,testing_symp,2020-05-07,Incomplete
IRN,IRN.28_1,testing_asymp,2020-05-07,Unsure
IRN,IRN.28_1,enforcement_deployed,2020-05-07,Complete
IRN,IRN.28_1,state_of_emergency,2020-05-07,Unsure
IRN,IRN.28_1,mask,2020-05-07,Complete
MOZ,NA,closed_border,2020-05-07,Complete
MOZ,NA,symp_screening,2020-05-07,Complete
MOZ,NA,quar_iso,2020-05-07,Complete
MOZ,NA,household_confined,2020-05-07,Complete
MOZ,NA,limited_mvt,2020-05-07,Complete
MOZ,NA,school_closed,2020-05-07,Complete
MOZ,NA,nursing_home_closed,2020-05-07,Complete
MOZ,NA,office_closed,2020-05-07,Complete
MOZ,NA,entertainment_closed,2020-05-07,Complete
MOZ,NA,restaurant_closed,2020-05-07,Complete
MOZ,NA,store_closed,2020-05-07,Complete
MOZ,NA,public_transport_closed,2020-05-07,Complete
MOZ,NA,public_space_closed,2020-05-07,Complete
MOZ,NA,social_group_limits,2020-05-07,Complete
MOZ,NA,contact_tracing,2020-05-07,Complete
MOZ,NA,testing_symp,2020-05-07,Complete
MOZ,NA,testing_asymp,2020-05-07,Complete
MOZ,NA,enforcement_deployed,2020-05-07,Complete
MOZ,NA,state_of_emergency,2020-05-07,Complete
MOZ,NA,mask,2020-05-07,Complete
CAN,CAN.2_1,closed_border,2020-05-07,Complete
CAN,CAN.2_1,symp_screening,2020-05-07,Unsure
CAN,CAN.2_1,quar_iso,2020-05-07,Unsure
CAN,CAN.2_1,household_confined,2020-05-07,Unsure
CAN,CAN.2_1,limited_mvt,2020-05-07,Complete
CAN,CAN.2_1,school_closed,2020-05-07,Complete
CAN,CAN.2_1,nursing_home_closed,2020-05-07,Complete
CAN,CAN.2_1,office_closed,2020-05-07,Unsure
CAN,CAN.2_1,entertainment_closed,2020-05-07,Unsure
CAN,CAN.2_1,restaurant_closed,2020-05-07,Complete
CAN,CAN.2_1,store_closed,2020-05-07,Unsure
CAN,CAN.2_1,public_transport_closed,2020-05-07,Unsure
CAN,CAN.2_1,public_space_closed,2020-05-07,Unsure
CAN,CAN.2_1,social_group_limits,2020-05-07,Complete
CAN,CAN.2_1,contact_tracing,2020-05-07,Unsure
CAN,CAN.2_1,testing_symp,2020-05-07,Incomplete
CAN,CAN.2_1,testing_asymp,2020-05-07,Incomplete
CAN,CAN.2_1,enforcement_deployed,2020-05-07,Complete
CAN,CAN.2_1,state_of_emergency,2020-05-07,Complete
CAN,CAN.2_1,mask,2020-05-07,Incomplete
BWA,NA,closed_border,2020-05-07,Complete
BWA,NA,symp_screening,2020-05-07,Unsure
BWA,NA,quar_iso,2020-05-07,Unsure
BWA,NA,household_confined,2020-05-07,Complete
